Experiment,Query,Expected Topic,Top-k,Top Score,Average Score,Hit@1,Hit@3,Top Raw Distance,Search Query Used,Top Chunk Type,Top Source,Top Topic Metadata,Top Document Preview
Improved: Topic Alias + Cosine + Multi Query,밸브에서 가스가 새요?,Gas Leakage / Pipe Leakage,3,0.6798,0.6445,True,True,0.3201906681060791,Gas Leakage Pipe Leakage Hydrogen Gas Leak 가스 누설 배관 누설 Gas Detector 압력 저하 환기 차단,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage," [검색 보강 Alias]  [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? 검색 키워드: 가스 누설, 배관 누설, 밸브 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, 누설음, 환기, 차단, 비상정지   [원본 문서 Chunk] 점검/진단 방법  1. 작업 전 배관을 격리하고 압력을 제거한다. 2. 플랜지 외관, 볼트 체결 상태, 가스켓 돌출/손"
Improved: Topic Alias + Cosine + Multi Query,배관에서 누설이 발생하면 어떤 조치를 해야 하나요?,Gas Leakage / Pipe Leakage,3,0.6798,0.6445,True,True,0.3201906681060791,Gas Leakage Pipe Leakage Hydrogen Gas Leak 가스 누설 배관 누설 Gas Detector 압력 저하 환기 차단,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage," [검색 보강 Alias]  [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? 검색 키워드: 가스 누설, 배관 누설, 밸브 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, 누설음, 환기, 차단, 비상정지   [원본 문서 Chunk] 점검/진단 방법  1. 작업 전 배관을 격리하고 압력을 제거한다. 2. 플랜지 외관, 볼트 체결 상태, 가스켓 돌출/손"
Improved: Topic Alias + Cosine + Multi Query,Seat Leakage가 발생하면 어떤 증상이 나타나나요?,Seat Leakage,3,0.6798,0.6504,False,True,0.3201906681060791,Gas Leakage Pipe Leakage Hydrogen Gas Leak 가스 누설 배관 누설 Gas Detector 압력 저하 환기 차단,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage," [검색 보강 Alias]  [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? 검색 키워드: 가스 누설, 배관 누설, 밸브 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, 누설음, 환기, 차단, 비상정지   [원본 문서 Chunk] 점검/진단 방법  1. 작업 전 배관을 격리하고 압력을 제거한다. 2. 플랜지 외관, 볼트 체결 상태, 가스켓 돌출/손"
Improved: Topic Alias + Cosine + Multi Query,Packing 누설이 발생했을 때 점검해야 할 항목은 무엇인가요?,Packing Leakage,3,0.7012,0.6885,True,True,0.298825740814209,Packing Leakage Stem Leakage Gland Packing 패킹 누설 스템 누설 패킹 마모,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Packing Leakage | RMS," [검색 보강 Alias]  [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? 검색 키워드: 가스 누설, 배관 누설, 밸브 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, 누설음, 환기, 차단, 비상정지   [Packing Leakage 검색 보강] 대표 질문: - Packing 누설이 발생하면 무엇을 점검해야 하나요? - 스템 부위에서 누설이 발생"
Improved: Topic Alias + Cosine + Multi Query,Cavitation이 발생하면 밸브에 어떤 문제가 생기나요?,Cavitation,3,0.6476,0.6144,True,True,0.3523958921432495,Cavitation 캐비테이션 공동현상 고주파 소음 진동 밸브 손상,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Cavitation | RMS | FFT Analysis," [검색 보강 Alias]  [Cavitation 검색 보강] 대표 질문: - Cavitation이 발생하면 밸브에 어떤 문제가 생기나요? - 캐비테이션 소음이 발생합니다. 검색 키워드: Cavitation, 캐비테이션, 공동현상, 고주파 소음, 진동, 밸브 손상, 압력 변화   [RMS 검색 보강] 대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 높으면 어떤 문제가 있나요? 검색 키워드: RMS, 진동 RMS, vibration level, 진동 증가, 이상 진단, 상태 감시   [FFT /"
Improved: Topic Alias + Cosine + Multi Query,밸브 진동이 심할 때 가능한 원인은 무엇인가요?,Valve Vibration / Loose Fastener,3,0.7694,0.6603,True,True,0.2306222915649414,Valve Vibration Pipe Vibration Loose Fastener Mounting Issue 밸브 진동 배관 진동 체결 불량,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Valve Vibration / Loose Fastener | RMS," [검색 보강 Alias]  [Valve Vibration / Loose Fastener 검색 보강] 대표 질문: - 밸브 진동이 심할 때 가능한 원인은 무엇인가요? - Loose Fastener가 있으면 어떤 현상이 발생하나요? 검색 키워드: Valve Vibration, 밸브 진동, Pipe Vibration, 배관 진동, Loose Fastener, 볼트 풀림, 체결 불량, Mounting Issue, 저주파 진동   [RMS 검색 보강] 대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 "
Improved: Topic Alias + Cosine + Multi Query,RMS 값이 높게 측정되면 어떤 조치를 해야 하나요?,RMS,3,0.7043,0.6145,True,True,0.29565924406051636,RMS vibration level 진동 RMS 진동 증가 이상 진단 상태 감시,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,RMS," [검색 보강 Alias]  [RMS 검색 보강] 대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 높으면 어떤 문제가 있나요? 검색 키워드: RMS, 진동 RMS, vibration level, 진동 증가, 이상 진단, 상태 감시   [원본 문서 Chunk] 한국어 질문과 영어 기술용어가 모두 검색되도록 한글/영문 키워드를 병기한다.  AI가 추측하지 않도록 증상, 원인, 조치, 검증 항목을 표준 형식으로 반복한다.  유사도 0.600 미만인 질문은 근거 부족으로 판단하고, 해당 질문을 DB "
Improved: Topic Alias + Cosine + Multi Query,FFT 분석은 밸브 이상 진단에 왜 필요한가요?,FFT Analysis,3,0.5346,0.5299,True,True,0.4654002785682678,FFT 분석은 밸브 이상 진단에 왜 필요한가요?,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Seat Leakage | Packing Leakage | Cavitation | Valve Vibration / Loose Fastener | RMS | FFT Analysis," [검색 보강 Alias]  [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? 검색 키워드: 가스 누설, 배관 누설, 밸브 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, 누설음, 환기, 차단, 비상정지   [Seat Leakage 검색 보강] 대표 질문: - Seat Leakage가 발생하면 어떤 증상이 나타나나요? - 밸브 시트 누설 증상은 무엇"
Improved: Topic Alias + Cosine + Multi Query,Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?,Valve Vibration / Loose Fastener,3,0.63,0.543,True,True,0.37001776695251465,Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Valve Vibration / Loose Fastener | RMS," [검색 보강 Alias]  [Valve Vibration / Loose Fastener 검색 보강] 대표 질문: - 밸브 진동이 심할 때 가능한 원인은 무엇인가요? - Loose Fastener가 있으면 어떤 현상이 발생하나요? 검색 키워드: Valve Vibration, 밸브 진동, Pipe Vibration, 배관 진동, Loose Fastener, 볼트 풀림, 체결 불량, Mounting Issue, 저주파 진동   [RMS 검색 보강] 대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 "
Improved: Topic Alias + Cosine + Multi Query,Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요?,Foreign Object,3,0.6402,0.5877,True,True,0.35975223779678345,Foreign Object 이물질 밸브 내부 이물질 막힘 유량 저하 압력 변화,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Foreign Object," [검색 보강 Alias]  [Foreign Object 검색 보강] 대표 질문: - Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요? - 밸브 내부 이물질 문제는 무엇인가요? 검색 키워드: Foreign Object, 이물질, 밸브 내부 이물질, 막힘, 유량 저하, 이상 소음, 압력 변화   [원본 문서 Chunk] KB-06. Foreign Object / Debris  항목  내용  Category  Contamination / Internal Obstruction  대표 질문  간헐적 충격음이 납니다."
High Precision: Alias + FAQ + Cosine,밸브에서 가스가 새요?,Gas Leakage / Pipe Leakage,3,0.5214,0.509,True,True,0.47856444120407104,밸브에서 가스가 새요?,alias_enriched_chunk,./00_ShipLeak_Copilot_Integrated_Knowledge_Base.docx,Gas Leakage / Pipe Leakage | Valve Vibration / Loose Fastener," [검색 보강 Alias]  [Gas Leakage / Pipe Leakage 검색 보강] 대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? 검색 키워드: 가스 누설, 배관 누설, 밸브 누설, Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, Gas Detector, 압력 저하, 누설음, 환기, 차단, 비상정지   [Valve Vibration / Loose Fastener 검색 보강] 대표 질문: - 밸브 진동이 심할 때 가능한 원인은 무엇인가요? - L"
High Precision: Alias + FAQ + Cosine,배관에서 누설이 발생하면 어떤 조치를 해야 하나요?,Gas Leakage / Pipe Leakage,3,0.5257,0.5152,True,True,0.4742671251296997,배관에서 누설이 발생하면 어떤 조치를 해야 하나요?,faq_high_precision_chunk,manual_faq_knowledge,Gas Leakage / Pipe Leakage," [FAQ 검색 전용 Chunk]  주제: Gas Leakage / Pipe Leakage  대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? - 가스 누설이 발생하면 어떻게 해야 하나요? - Gas Leakage 발생 시 증상과 조치는 무엇인가요? - Pipe Leakage 발생 시 점검 항목은 무엇인가요?  검색 키워드: Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, 가스 누설, 배관 누설, 밸브 누설, Gas Detector, 압력 저하, 누설음,"
High Precision: Alias + FAQ + Cosine,Seat Leakage가 발생하면 어떤 증상이 나타나나요?,Seat Leakage,3,0.5943,0.5206,True,True,0.4057183861732483,Seat Leakage가 발생하면 어떤 증상이 나타나나요?,faq_high_precision_chunk,manual_faq_knowledge,Seat Leakage," [FAQ 검색 전용 Chunk]  주제: Seat Leakage  대표 질문: - Seat Leakage가 발생하면 어떤 증상이 나타나나요? - 밸브 시트 누설 증상은 무엇인가요? - 밸브 내부 누설 원인은 무엇인가요?  검색 키워드: Seat Leakage, 시트 누설, Internal Leakage, 밸브 내부 누설, 시트 손상  답변 근거:  Seat Leakage는 밸브 시트 부위에서 내부 누설이 발생하는 현상이다. 주요 증상은 압력 저하, 누설음, RMS 증가, 밸브 차단 성능 저하 등이다. 점검 시 밸브 시트 손상, 이"
High Precision: Alias + FAQ + Cosine,Packing 누설이 발생했을 때 점검해야 할 항목은 무엇인가요?,Packing Leakage,3,0.7483,0.6698,True,True,0.2516869306564331,Packing 누설이 발생했을 때 점검해야 할 항목은 무엇인가요?,faq_high_precision_chunk,manual_faq_knowledge,Packing Leakage," [FAQ 검색 전용 Chunk]  주제: Packing Leakage  대표 질문: - Packing 누설이 발생했을 때 점검해야 할 항목은 무엇인가요? - 스템 부위에서 누설이 발생합니다. - Packing Leakage 조치사항은 무엇인가요?  검색 키워드: Packing Leakage, 패킹 누설, Stem Leakage, 스템 누설, Gland Packing, 패킹 마모  답변 근거:  Packing Leakage는 주로 밸브 스템 또는 Gland Packing 부위에서 발생한다. 점검 항목은 스템 부위 누설 여부, 패킹 "
High Precision: Alias + FAQ + Cosine,Cavitation이 발생하면 밸브에 어떤 문제가 생기나요?,Cavitation,3,0.7373,0.6601,True,True,0.26267290115356445,Cavitation이 발생하면 밸브에 어떤 문제가 생기나요?,faq_high_precision_chunk,manual_faq_knowledge,Cavitation," [FAQ 검색 전용 Chunk]  주제: Cavitation  대표 질문: - Cavitation이 발생하면 밸브에 어떤 문제가 생기나요? - 캐비테이션 소음이 발생합니다. - 공동현상 발생 시 조치는 무엇인가요?  검색 키워드: Cavitation, 캐비테이션, 공동현상, 고주파 소음, 기포 붕괴  답변 근거:  Cavitation은 유체 압력 변화로 기포가 발생하고 붕괴하면서 밸브 내부에 충격을 주는 현상이다. 주요 증상은 고주파 소음, 진동 증가, 밸브 내부 손상, 성능 저하이다. 압력 조건, 유량 조건, 밸브 개도, 손상 "
High Precision: Alias + FAQ + Cosine,밸브 진동이 심할 때 가능한 원인은 무엇인가요?,Valve Vibration / Loose Fastener,3,0.5985,0.5559,True,True,0.4014800786972046,밸브 진동이 심할 때 가능한 원인은 무엇인가요?,faq_high_precision_chunk,manual_faq_knowledge,Valve Vibration / Loose Fastener," [FAQ 검색 전용 Chunk]  주제: Valve Vibration / Loose Fastener  대표 질문: - 밸브 진동이 심할 때 가능한 원인은 무엇인가요? - 밸브가 떨려요. - 배관 진동이 심합니다. - Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?  검색 키워드: Valve Vibration, 밸브 진동, Pipe Vibration, 배관 진동, Loose Fastener, 볼트 풀림, 체결 불량, Mounting Issue, 저주파 진동  답변 근거:  밸브 또는 배관 진동이 심한 경우"
High Precision: Alias + FAQ + Cosine,RMS 값이 높게 측정되면 어떤 조치를 해야 하나요?,RMS,3,0.6899,0.6127,True,True,0.3101368546485901,RMS 값이 높게 측정되면 어떤 조치를 해야 하나요?,faq_high_precision_chunk,manual_faq_knowledge,RMS," [FAQ 검색 전용 Chunk]  주제: RMS  대표 질문: - RMS 값이 높게 측정되면 어떤 조치를 해야 하나요? - 진동 RMS가 높으면 어떤 문제가 있나요?  검색 키워드: RMS, 진동 RMS, vibration level, 진동 증가, 상태 감시  답변 근거:  RMS 값이 높다는 것은 전체 진동 에너지가 증가했다는 의미이다. 이는 체결 불량, 베어링 이상, 밸브 진동, 배관 지지 문제, 유동 이상 등과 관련될 수 있다. 조치로는 진동 원인 분석, 체결 상태 확인, FFT 분석, 운전 조건 확인, 필요 시 정비가 필요"
High Precision: Alias + FAQ + Cosine,FFT 분석은 밸브 이상 진단에 왜 필요한가요?,FFT Analysis,3,0.7982,0.6223,True,True,0.20176857709884644,FFT 분석은 밸브 이상 진단에 왜 필요한가요?,faq_high_precision_chunk,manual_faq_knowledge,FFT Analysis," [FAQ 검색 전용 Chunk]  주제: FFT Analysis  대표 질문: - FFT 분석은 밸브 이상 진단에 왜 필요한가요? - 주파수 분석으로 무엇을 알 수 있나요?  검색 키워드: FFT, FFT Analysis, 주파수 분석, Frequency Analysis, 스펙트럼 분석  답변 근거:  FFT 분석은 시간 영역의 진동 신호를 주파수 영역으로 변환하여 이상 원인을 구분하는 데 사용된다. 저주파 성분은 체결 불량이나 구조 진동과 관련될 수 있고, 고주파 성분은 누설음, 베어링 이상, Cavitation 등과 관련될 수"
High Precision: Alias + FAQ + Cosine,Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?,Valve Vibration / Loose Fastener,3,0.6696,0.6038,True,True,0.33039236068725586,Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?,faq_high_precision_chunk,manual_faq_knowledge,Valve Vibration / Loose Fastener," [FAQ 검색 전용 Chunk]  주제: Valve Vibration / Loose Fastener  대표 질문: - 밸브 진동이 심할 때 가능한 원인은 무엇인가요? - 밸브가 떨려요. - 배관 진동이 심합니다. - Loose Fastener가 있으면 밸브 운전 중 어떤 현상이 나타나나요?  검색 키워드: Valve Vibration, 밸브 진동, Pipe Vibration, 배관 진동, Loose Fastener, 볼트 풀림, 체결 불량, Mounting Issue, 저주파 진동  답변 근거:  밸브 또는 배관 진동이 심한 경우"
High Precision: Alias + FAQ + Cosine,Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요?,Foreign Object,3,0.76,0.6653,True,True,0.24001389741897583,Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요?,faq_high_precision_chunk,manual_faq_knowledge,Foreign Object," [FAQ 검색 전용 Chunk]  주제: Foreign Object  대표 질문: - Foreign Object가 밸브 내부에 있으면 어떤 문제가 발생하나요? - 밸브 내부 이물질 문제는 무엇인가요? - 이물질 때문에 유량이 줄어들 수 있나요?  검색 키워드: Foreign Object, 이물질, 밸브 내부 이물질, 막힘, 유량 저하  답변 근거:  Foreign Object가 밸브 내부에 있으면 유로 막힘, 유량 저하, 압력 변화, 이상 소음, 밸브 시트 손상, 누설 등이 발생할 수 있다. 점검 시 밸브 내부 이물질 유입 여부,"
High Precision: Alias + FAQ + Cosine + Multi Query,밸브에서 가스가 새요?,Gas Leakage / Pipe Leakage,3,0.6916,0.6689,True,True,0.3084496855735779,Gas Leakage Pipe Leakage Hydrogen Gas Leak 가스 누설 배관 누설 Gas Detector 압력 저하 환기 차단,faq_high_precision_chunk,manual_faq_knowledge,Gas Leakage / Pipe Leakage," [FAQ 검색 전용 Chunk]  주제: Gas Leakage / Pipe Leakage  대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? - 가스 누설이 발생하면 어떻게 해야 하나요? - Gas Leakage 발생 시 증상과 조치는 무엇인가요? - Pipe Leakage 발생 시 점검 항목은 무엇인가요?  검색 키워드: Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, 가스 누설, 배관 누설, 밸브 누설, Gas Detector, 압력 저하, 누설음,"
High Precision: Alias + FAQ + Cosine + Multi Query,배관에서 누설이 발생하면 어떤 조치를 해야 하나요?,Gas Leakage / Pipe Leakage,3,0.6915,0.6689,True,True,0.3084598779678345,Gas Leakage Pipe Leakage Hydrogen Gas Leak 가스 누설 배관 누설 Gas Detector 압력 저하 환기 차단,faq_high_precision_chunk,manual_faq_knowledge,Gas Leakage / Pipe Leakage," [FAQ 검색 전용 Chunk]  주제: Gas Leakage / Pipe Leakage  대표 질문: - 밸브에서 가스가 새요? - 배관에서 누설이 발생하면 어떤 조치를 해야 하나요? - 가스 누설이 발생하면 어떻게 해야 하나요? - Gas Leakage 발생 시 증상과 조치는 무엇인가요? - Pipe Leakage 발생 시 점검 항목은 무엇인가요?  검색 키워드: Gas Leakage, Pipe Leakage, Hydrogen Gas Leak, 가스 누설, 배관 누설, 밸브 누설, Gas Detector, 압력 저하, 누설음,"
